movieId,title,genres,language
200000,Baahubali: The Beginning (2015),Action|Adventure|Drama,Telugu/Tamil
200001,Baahubali 2: The Conclusion (2017),Action|Adventure|Fantasy,Telugu/Tamil
200002,Vikram (2022),Action|Thriller,Tamil
200003,Kaithi (2019),Action|Thriller,Tamil
200004,Ponniyin Selvan: I (2022),Action|Adventure|Drama,Tamil
200005,Jai Bhim (2021),Crime|Drama|Mystery,Tamil
200006,Super Deluxe (2019),Crime|Drama|Thriller,Tamil
200007,96 (2018),Drama|Romance,Tamil
200008,Mankatha (2011),Action|Crime|Thriller,Tamil
200009,Thuppakki (2012),Action|Thriller,Tamil
200010,Asuran (2019),Action|Drama,Tamil
200011,Karnan (2021),Action|Drama,Tamil
200012,Vada Chennai (2018),Action|Crime|Drama,Tamil
200013,Soorarai Pottru (2020),Drama,Tamil
200014,RRR (2022),Action|Drama,Telugu
200015,Pushpa: The Rise (2021),Action|Crime|Drama,Telugu
200016,Arjun Reddy (2017),Action|Drama|Romance,Telugu
200017,Jersey (2019),Drama,Telugu
200018,Mahanati (2018),Biography|Drama,Telugu
200019,3 Idiots (2009),Comedy|Drama,Hindi
200020,Dangal (2016),Action|Biography|Drama,Hindi
200021,Gully Boy (2019),Drama|Music,Hindi
200022,Andhadhun (2018),Crime|Thriller|Comedy,Hindi
200023,Drishyam (2015),Crime|Drama|Mystery,Hindi
202000,Lagaan: Once Upon a Time in India (2001),Comedy|Drama|Musical,Hindi
202001,Like Stars on Earth (Taare Zameen Par) (2007),Drama,Hindi
